Warehouse_ID,Name,Latitude,Longitude,Cost,Connectivity,Capacity,Ownership,City
1,EM Bypass,22.334173,88.243058,15000,Good,2200,Azmet Enterprise,Kolkata
2,Ruby Park,22.516571,88.368352,13000,Good,2500,Manoj Badoria,Kolkata
3,Dankuni,22.671679,88.300209,10000,Moderate,10000,Arun Kumar Modi,Kolkata
4,Thakurpukur,22.462139,88.307137,12000,Good,3049.2,Tanumay,Kolkata
5,Barasat,22.726156,88.47496,16000,Good,15000,Arvind Sultania,Kolkata
6,Chingrihata,22.342152,88.2150022,14000,Good,5000,Rochisnu Basu,Kolkata
7,Beliaghata,22.567415,88.392433,11000,Good,700,Amitav Samanta,Kolkata
8,Liluah,22.345999,88.225999,10500,Moderate,2300,R K Property,Kolkata
9,Kasba Industrial,22.517618,88.384048,11000,Good,2000,Sukumar Choudhury,Kolkata
10,Sovabazar,22.35457,88.215502,12500,Good,20250,Harsh Bhatter,Kolkata
11,Tollygunge,22.4986357,88.3453905,13500,Good,2400,Jayanta Enterprise,Kolkata
12,Ahiritola,22.352979,88.213318,11500,Moderate,1000,V P Gupta,Kolkata
13,Salt Lake,22.575148,88.406242,11800,Good,3500,Kalpurush Properties,Kolkata
14,Sodepur,22.698214,88.389476,11200,Moderate,10000,Deep Das,Kolkata
15,Madhyamgram,22.7,88.45,13200,Good,20000,H S Modi,Kolkata
16,Taratala,22.5134297,88.3075289,13800,Good,50000,Shiv Ganga Das,Kolkata
17,Barrackpore,22.760195,88.371101,10900,Moderate,2000,Anisul Mehedi,Kolkata
18,Bally,22.6443,88.3382,12000,Good,15300,HIDCO,Kolkata
19,Salt Lake,22.5867,88.4171,11500,Good,30000,Belgachia Municipality,Kolkata
